timestamp,run_type,max_depth,n_estimators,learning_rate,subsample,min_samples_leaf,train_rmse,val_rmse,val_mae,train_val_gap
2026-08-29T14:32:36.228031+00:00,tune_candidate,2,100,0.03,0.7,1,39.776283246051335,49.56337882108512,35.58597553577118,9.787095575033781
2026-08-29T14:32:36.434057+00:00,tune_candidate,2,100,0.03,0.7,5,39.78244726165361,49.85338988839157,35.82511661408228,10.07094262673796
2026-08-29T14:32:36.638759+00:00,tune_candidate,2,100,0.03,0.7,10,40.034626682623625,49.50879453057382,35.586159880865914,9.474167847950199
2026-08-29T14:32:36.889822+00:00,tune_candidate,2,100,0.03,0.85,1,39.794396889072516,49.41965731519483,35.42415299249681,9.625260426122317
2026-08-29T14:32:37.129717+00:00,tune_candidate,2,100,0.03,0.85,5,39.85704089282086,49.59044644827542,35.555165706498784,9.73340555545456
2026-08-29T14:32:37.360013+00:00,tune_candidate,2,100,0.03,0.85,10,40.056828687931876,49.40235764177848,35.392920033390034,9.345528953846603
2026-08-29T14:32:37.603594+00:00,tune_candidate,2,100,0.03,1.0,1,39.839274817971976,49.80868645638086,35.544258963645156,9.969411638408886
2026-08-29T14:32:37.850923+00:00,tune_candidate,2,100,0.03,1.0,5,39.90987352448931,49.79816935115482,35.54976573860157,9.888295826665505
2026-08-29T14:32:38.093849+00:00,tune_candidate,2,100,0.03,1.0,10,39.969013623964194,49.94164996121755,35.623936732484545,9.972636337253356
2026-08-29T14:32:38.301046+00:00,tune_candidate,2,100,0.05,0.7,1,37.35701668961683,47.9218474465541,34.06335916741762,10.564830756937269
2026-08-29T14:32:38.501835+00:00,tune_candidate,2,100,0.05,0.7,5,37.842642745977905,47.81010399310053,33.91343561887374,9.967461247122628
2026-08-29T14:32:38.711033+00:00,tune_candidate,2,100,0.05,0.7,10,37.74031033431217,47.68680161066942,34.0190012517699,9.94649127635725
2026-08-29T14:32:38.951357+00:00,tune_candidate,2,100,0.05,0.85,1,37.255433915375775,47.88799556222031,34.06550591314254,10.632561646844536
2026-08-29T14:32:39.179711+00:00,tune_candidate,2,100,0.05,0.85,5,37.38814910180464,47.92997744791271,34.21968273402913,10.541828346108069
